N¾ring1;1920;1930;;
;;;;
Personer 15 Œr og over i alt;1Ê799Ê878;2Ê012Ê645;;
Yrkesaktive1;1Ê068Ê175;1Ê163Ê007;;
Jordbruk;Ê301Ê726;Ê303Ê975;;
Skogbruk og jakt;34Ê070;32Ê136;;
Fiske og fangst;57Ê719;80Ê814;;
Bergverksdrift mv.;9Ê671;13Ê770;;
Industri;Ê215Ê384;Ê215Ê350;;
Bygge- og anleggsvirksomhet;76Ê469;72Ê400;;
;;;;
Kraft- og vannforsyning;7Ê051;6Ê928;;
Varehandel;90Ê723;Ê113Ê692;;
Finansinstitusjoner og eiendomsdrift;9Ê488;8Ê778;;
Sj¿transport;43Ê545;51Ê477;;
Annen samferdsel;41Ê179;44Ê697;;
Offentlig administrasjon og forsvar;15Ê168;15Ê367;;
Offentlig og privat tjenesteyting;45Ê334;56Ê386;;
Personlig tjenesteyting;Ê115Ê292;Ê143Ê232;;
Uoppgitt n¾ring;5Ê356;4Ê005;;
Ikke yrkesaktive;Ê731Ê304;Ê848Ê678;;
Uoppgitt;Ê399;Ê960;;
;;;;
